identifier,title,year,publisher,subject,subcollection,pdf_file_id,pdf_filename,pdf_original_path,pdf_export_relpath,ocr_id,ocr_completed_date,ocr_export_relpath,metadata_export_relpath
cihm_38154,A chronicle of the conquest of Granada [microform] : from the mss. of Fray Antonio Agapida : to which is added Legends of the conquest of Spain,1850,London : H.G. Bohn,,saskatchewan_1808_1946,3277,cihm_38154.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_38154.pdf,,4128,2025-10-06 06:13:30.198336,ocr/cihm_38154.json,metadata/cihm_38154.json
cihm_38155,The life and voyages of Christopher Columbus [microform] : together with the voyages of his companions,1850,London : H.G. Bohn,"Columbus, Christopher, ca. 1451-1506; Colomb, Christophe, ca 1451-1506; Explorers; Explorateurs",saskatchewan_1808_1946,3278,cihm_38155.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_38155.pdf,,4129,2025-10-06 06:13:30.209526,ocr/cihm_38155.json,metadata/cihm_38155.json
cihm_38156,The life and voyages of Christopher Columbus [microform] : together with the voyages of his companions,1850,London : H.G. Bohn,"Columbus, Christopher, ca. 1451-1506; Colomb, Christophe, ca 1451-1506; Explorers; Explorateurs",saskatchewan_1808_1946,3279,cihm_38156.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_38156.pdf,,4130,2025-10-06 06:13:30.225030,ocr/cihm_38156.json,metadata/cihm_38156.json
cihm_38157,"Astoria, or, Anecdotes of an enterprise beyond the Rocky Mountains [microform]",1850,London : H.G. Bohn,Pacific Fur Company; Pacific Fur Company; Fur trade; Overland journeys to the Pacific; Indians of North America; Fourrures; Voyages par terre jusqu'au Pacifique; Indiens d'Amérique,saskatchewan_1808_1946,3280,cihm_38157.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_38157.pdf,,4131,2025-10-06 06:13:30.239708,ocr/cihm_38157.json,metadata/cihm_38157.json
cihm_38158,Life of Mahomet [microform],1850,London : H.G. Bohn,Muhammad; Mahomet; Muslims; Musulmans,saskatchewan_1808_1946,3281,cihm_38158.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_38158.pdf,,4132,2025-10-06 06:13:30.255402,ocr/cihm_38158.json,metadata/cihm_38158.json
cihm_38159,"The adventures of Captain Bonneville, U.S.A. in the Rocky Mountains and the Far West [microform] : digested from his journal and illustrated from various other sources",1850,London : H.G. Bohn,"Bonneville, Benjamin Louis Eulalie de, 1796-1878; Bonneville, Benjamin Louis Eulalie de, 1796-1878",saskatchewan_1808_1946,3282,cihm_38159.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_38159.pdf,,4133,2025-10-06 06:13:30.265798,ocr/cihm_38159.json,metadata/cihm_38159.json
cihm_40063,"Lives of Vice-Admiral Sir Charles Vinicombe Penrose, K.C.B. and Captain James Trevenen, knight of the Russian orders of St. George and St. Vladimir [microform]",1850,London : J. Murray,"Penrose, C. V. (Charles Vinicombe), Sir, 1759-1830; Trevenen, James, 1760-1790; Penrose, C. V. (Charles Vinicombe), Sir, 1759-1830; Trevenen, James, 1760-1790; Great Britain. Navy; Grande-Bretagne. Navy",saskatchewan_1808_1946,3283,cihm_40063.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_40063.pdf,,4134,2025-10-06 06:13:30.275885,ocr/cihm_40063.json,metadata/cihm_40063.json
salmagundiorwhi09paulgoog,"Salmagundi, or, The whim-whams and opinions of Launcelot Langstaff, Esq., and others. Vol. I",1850,London : H.G. Bohn,,saskatchewan_1808_1946,3284,salmagundiorwhi09paulgoog.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/salmagundiorwhi09paulgoog.pdf,,4135,2025-10-06 06:13:30.280066,ocr/salmagundiorwhi09paulgoog.json,metadata/salmagundiorwhi09paulgoog.json
salmagundiorwhi11paulgoog,"Salmagundi, or, The whim-whams and opinions of Launcelot Langstaff, Esq., and others. Vol. I",1850,London : H.G. Bohn,,saskatchewan_1808_1946,3285,salmagundiorwhi11paulgoog.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/salmagundiorwhi11paulgoog.pdf,,4136,2025-10-06 06:13:30.290243,ocr/salmagundiorwhi11paulgoog.json,metadata/salmagundiorwhi11paulgoog.json
cihm_18744,Outlines of astronomy [microform],1851,"London : Longman, Brown, Green, and Longmans",Astronomy; Astronomie,saskatchewan_1808_1946,3286,cihm_18744.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_18744.pdf,,4137,2025-10-06 06:13:30.299587,ocr/cihm_18744.json,metadata/cihm_18744.json
cihm_40780,Sir John Franklin and the Arctic regions [microform] : showing the progress of British enterprise for the discovery of the North-West passage during the nineteenth century; with more detailed notices of the recent expeditions in search of the mission vessel under Capt. Sir John Franklin,1851,London : Routledge,"Franklin, John, Sir, 1786-1847; Franklin, John, Sir, 1786-1847",saskatchewan_1808_1946,3287,cihm_40780.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_40780.pdf,,4138,2025-10-06 06:13:30.310482,ocr/cihm_40780.json,metadata/cihm_40780.json
cihm_42143,Guide de l'instituteur [microforme] : contenant une série de réponses [a]ux questions insérées dans la circulaire no. 12 du surintendant de l'éducation sur les diverses branches d'instruction prescrites par la loi des écoles en opération dans le Bas-Canada; ces questions et ces réponses forment maintenant un seul et même ouvrage destiné à l'usage des écoles,1851,Montréal : P. Gendron,Éducation; Education,saskatchewan_1808_1946,3288,cihm_42143.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_42143.pdf,,4139,2025-10-06 06:13:30.320863,ocr/cihm_42143.json,metadata/cihm_42143.json
outlinesastrono00hersgoog,Outlines of astronomy,1851,"London : Longman, Brown, Green, and Longmans",Astronomy; Astronomie; Astronomy,saskatchewan_1808_1946,3289,outlinesastrono00hersgoog.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/outlinesastrono00hersgoog.pdf,,4140,2025-10-06 06:13:30.329992,ocr/outlinesastrono00hersgoog.json,metadata/outlinesastrono00hersgoog.json
outlinesastrono06hersgoog,Outlines of astronomy,1851,"London : Longman, Brown, Green, and Longmans",Astronomy; Astronomie; Astronomy,saskatchewan_1808_1946,3290,outlinesastrono06hersgoog.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/outlinesastrono06hersgoog.pdf,,4141,2025-10-06 06:13:30.346321,ocr/outlinesastrono06hersgoog.json,metadata/outlinesastrono06hersgoog.json
cihm_52191,"The rise and progress of Trinity College, Toronto [microform] : with a sketch of the life of the Lord Bishop of Toronto, as connected with church education in Canada",1852,Toronto : H. Rowsell,"Strachan, John, 1778-1867; Strachan, John, 1778-1867; Trinity College (Toronto, Ont.); Trinity College (Toronto, Ontario); Universities and colleges; Universités",saskatchewan_1808_1946,3291,cihm_52191.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_52191.pdf,,4142,2025-10-06 06:13:30.357424,ocr/cihm_52191.json,metadata/cihm_52191.json
cihm_18737,"The origin of the North American Indians [microform] : with a faithful description of their manners and customs, both civil and military, their religions, languages, dress, and ornaments : including various specimens of Indian eloquence, as well as historical and biographical sketches of almost all the distinguished nations and celebrated warriors, statesmen and orators among the Indians of North America",1853,"New York : Cornish, Lampart",Indians of North America; Indians of North America; Indians; Indiens d'Amérique; Indiens d'Amérique; Indiens d'Amérique,saskatchewan_1808_1946,3292,cihm_18737.pdf,/home/jic823/projects/def-jic823/pdfs_sask_test/cihm_18737.pdf,,4143,2025-10-06 06:13:30.361903,ocr/cihm_18737.json,metadata/cihm_18737.json
